source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
CT15-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	15 hour	enrichment of phosphorylated protein	no depletion	3	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-07T12:37:21	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 hour
CT15-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	15 hour	enrichment of phosphorylated protein	no depletion	4	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-07T17:46:28	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 hour
CT18-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	18 hour	enrichment of phosphorylated protein	no depletion	1	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-07T23:20:14	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	18 hour
CT12-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	12 hour	enrichment of phosphorylated protein	no depletion	2	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-08T04:29:44	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 hour
CT18-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	18 hour	enrichment of phosphorylated protein	no depletion	3	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-08T20:38:25	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	18 hour
CT18-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	18 hour	enrichment of phosphorylated protein	no depletion	4	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-09T01:48:13	20140906_QEp6_ChRo_SA_Liver_Phospho_CT18_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	18 hour
CT21-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	21 hour	enrichment of phosphorylated protein	no depletion	1	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-09T07:22:32	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	21 hour
CT15-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	15 hour	enrichment of phosphorylated protein	no depletion	2	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-09T12:32:36	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 hour
CT21-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	21 hour	enrichment of phosphorylated protein	no depletion	3	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-09T17:42:54	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	21 hour
CT21-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	21 hour	enrichment of phosphorylated protein	no depletion	4	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-09T22:53:25	20140906_QEp6_ChRo_SA_Liver_Phospho_CT21_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	21 hour
CT24-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	24 hour	enrichment of phosphorylated protein	no depletion	1	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-10T04:28:04	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	24 hour
CT24-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	24 hour	enrichment of phosphorylated protein	no depletion	2	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-10T09:38:36	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	24 hour
CT24-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	24 hour	enrichment of phosphorylated protein	no depletion	3	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-10T14:49:11	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	24 hour
CT24-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	24 hour	enrichment of phosphorylated protein	no depletion	4	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-10T20:00:10	20140909_QEp6_ChRo_QC_Liver_Phospho_CT24_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	24 hour
CT27-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	27 hour	enrichment of phosphorylated protein	no depletion	1	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-11T01:35:43	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	27 hour
CT27-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	27 hour	enrichment of phosphorylated protein	no depletion	2	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-11T06:46:33	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	27 hour
CT27-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	27 hour	enrichment of phosphorylated protein	no depletion	3	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-11T11:57:30	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	27 hour
CT27-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	27 hour	enrichment of phosphorylated protein	no depletion	4	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-11T17:08:53	20140909_QEp6_ChRo_QC_Liver_Phospho_CT27_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	27 hour
CT30-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	30 hour	enrichment of phosphorylated protein	no depletion	1	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-12T01:41:18	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	30 hour
CT30-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	30 hour	enrichment of phosphorylated protein	no depletion	2	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-12T06:51:58	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	30 hour
CT30-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	30 hour	enrichment of phosphorylated protein	no depletion	3	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-12T14:53:33	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	30 hour
CT30-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	30 hour	enrichment of phosphorylated protein	no depletion	4	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-12T20:04:38	201409011_QEp6_ChRo_QC_Liver_Phospho_CT30_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	30 hour
