source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sampling time]	characteristics[treatment]	characteristics[depletion]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[sampling time]
D_A16_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	1	D_A16_1_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140501_EXQ00_MiWi_SA_A21_FR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	1	D_A16_1_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140501_EXQ00_MiWi_SA_A21_ECM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_2	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	2	D_A16_2_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140501_EXQ00_MiWi_SA_A22_FR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_2	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	2	D_A16_2_FR2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	2	1	cohort 1	20140501_EXQ00_MiWi_SA_A22_FR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_2	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	2	D_A16_2_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140501_EXQ00_MiWi_SA_A22_FR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_2	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	2	D_A16_2_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140501_EXQ00_MiWi_SA_A22_ECM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_3	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	3	D_A16_3_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140908_EXQ00_MiWi_SA_A23_FR1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_3	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	3	D_A16_3_FR2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	2	1	cohort 1	20140908_EXQ00_MiWi_SA_A23_FR2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_3	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	3	D_A16_3_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140908_EXQ00_MiWi_SA_A23_FR3_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_3	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	3	D_A16_3_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140908_EXQ00_MiWi_SA_A23_ECM_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_4	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	4	D_A16_4_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140908_EXQ00_MiWi_SA_A24_FR1_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_4	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	4	D_A16_4_FR2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	2	1	cohort 1	20140908_EXQ00_MiWi_SA_A24_FR2_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_4	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	4	D_A16_4_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140908_EXQ00_MiWi_SA_A24_FR3_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_4	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	4	D_A16_4_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140908_EXQ00_MiWi_SA_A24_ECM_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_5	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	5	D_A16_5_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140908_EXQ00_MiWi_SA_A25_FR1_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_5	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	5	D_A16_5_FR2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	2	1	cohort 1	20140908_EXQ00_MiWi_SA_A25_FR2_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_5	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	5	D_A16_5_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140908_EXQ00_MiWi_SA_A25_FR3_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A16_5	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	16 week	high fat diet	no depletion	not pooled	5	D_A16_5_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140908_EXQ00_MiWi_SA_A25_ECM_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	16 week
D_A24_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	24 week	high fat diet	no depletion	not pooled	1	D_A24_1_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140501_EXQ00_MiWi_SA_A28_FR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	24 week
D_A24_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	24 week	high fat diet	no depletion	not pooled	1	D_A24_1_FR2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	2	1	cohort 1	20140501_EXQ00_MiWi_SA_A28_FR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	24 week
D_A24_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	24 week	high fat diet	no depletion	not pooled	1	D_A24_1_FR3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	3	1	cohort 1	20140501_EXQ00_MiWi_SA_A28_FR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	24 week
D_A24_1	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	24 week	high fat diet	no depletion	not pooled	1	D_A24_1_ECM	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	4	1	cohort 1	20140501_EXQ00_MiWi_SA_A28_ECM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	24 week
D_A24_2	Mus musculus	aorta	cardiovascular system	not applicable	tissue	study sample	atherosclerosis	adult	Apoetm1Unc	male	24 week	high fat diet	no depletion	not pooled	2	D_A24_2_FR1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	300m/z-1650m/z	not available	1	1	cohort 1	20140908_EXQ00_MiWi_SA_A30_FR1_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Apoetm1Unc	24 week
