source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[organism part]	factor value[sampling time]	factor value[treatment]
30min_SALSAL_ctx_1	Mus musculus	cerebral cortex	1	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + saline
30min_SALSAL_ctx_2	Mus musculus	cerebral cortex	2	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + saline
30min_SALSAL_ctx_3	Mus musculus	cerebral cortex	3	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_ctx_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + saline
30min_SALSAL_hippo_1	Mus musculus	hippocampal formation	1	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + saline
30min_SALSAL_hippo_2	Mus musculus	hippocampal formation	2	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + saline
30min_SALSAL_hippo_3	Mus musculus	hippocampal formation	3	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_hippo_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + saline
30min_SALSAL_str_1	Mus musculus	striatum	1	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + saline
30min_SALSAL_str_2	Mus musculus	striatum	2	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + saline
30min_SALSAL_str_3	Mus musculus	striatum	3	normal	tissue	30 minute	water + saline	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalSal_str_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + saline
30min_SALU50_ctx_1	Mus musculus	cerebral cortex	1	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + U50488
30min_SALU50_ctx_2	Mus musculus	cerebral cortex	2	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + U50488
30min_SALU50_ctx_3	Mus musculus	cerebral cortex	3	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_ctx_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	30 minute	water + U50488
30min_SALU50_hippo_1	Mus musculus	hippocampal formation	1	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + U50488
30min_SALU50_hippo_2	Mus musculus	hippocampal formation	2	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + U50488
30min_SALU50_hippo_3	Mus musculus	hippocampal formation	3	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_hippo_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	30 minute	water + U50488
30min_SALU50_str_1	Mus musculus	striatum	1	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_1	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + U50488
30min_SALU50_str_2	Mus musculus	striatum	2	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_2	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + U50488
30min_SALU50_str_3	Mus musculus	striatum	3	normal	tissue	30 minute	water + U50488	enrichment of phosphorylated protein	adult	CD-1	male	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_3	proteomic profiling by mass spectrometry	1	20160922_QEp6_JeLi_SA_L976_30min_SalU50_str_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	striatum	30 minute	water + U50488
5min_CHLSAL_ctx_2	Mus musculus	cerebral cortex	2	normal	tissue	5 minute	chelerythrine + saline	enrichment of phosphorylated protein	adult	CD-1	male	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_ctx_2	proteomic profiling by mass spectrometry	1	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_ctx_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	cerebral cortex	5 minute	chelerythrine + saline
5min_CHLSAL_hippo_1	Mus musculus	hippocampal formation	1	normal	tissue	5 minute	chelerythrine + saline	enrichment of phosphorylated protein	adult	CD-1	male	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_hippo_1	proteomic profiling by mass spectrometry	1	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_hippo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	5 minute	chelerythrine + saline
5min_CHLSAL_hippo_2	Mus musculus	hippocampal formation	2	normal	tissue	5 minute	chelerythrine + saline	enrichment of phosphorylated protein	adult	CD-1	male	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_hippo_2	proteomic profiling by mass spectrometry	1	20161007_QEp6_JeLi_SA_L976_5min_CHLSAL_hippo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	hippocampal formation	5 minute	chelerythrine + saline
