source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 470 plasma	Mus musculus	blood plasma	not applicable	3	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 470	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_470_B6	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_470_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 474 plasma	Mus musculus	blood plasma	not applicable	5	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 474	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_474_B3	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_474_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 476 plasma	Mus musculus	blood plasma	not applicable	3	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 476	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_476_A5	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_476_A5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 478 plasma	Mus musculus	blood plasma	not applicable	1	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 478	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_478_C4	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_478_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 480 plasma	Mus musculus	blood plasma	not applicable	2	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 480	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_480_D2	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_480_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 482 plasma	Mus musculus	blood plasma	not applicable	4	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 482	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_482_A1_20190401180341	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_482_A1_20190401180341.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 484 plasma	Mus musculus	blood plasma	not applicable	5	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 484	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_484_C8	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_484_C8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 486 plasma	Mus musculus	blood plasma	not applicable	3	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 486	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_486_C12	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_486_C12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 488 plasma	Mus musculus	blood plasma	not applicable	6	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 488	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_488_B12	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_488_B12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 490 plasma	Mus musculus	blood plasma	not applicable	4	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 490	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_490_D1	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_490_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 504 plasma	Mus musculus	blood plasma	not applicable	3	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 504	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_504_C9	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_504_C9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 510 plasma	Mus musculus	blood plasma	not applicable	5	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 510	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_510_A7	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_510_A7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 512 plasma	Mus musculus	blood plasma	not applicable	4	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 512	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_512_B10	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_512_B10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 518 plasma	Mus musculus	blood plasma	not applicable	5	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 518	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_518_B9	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_518_B9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 520 plasma	Mus musculus	blood plasma	not applicable	2	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 520	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_520_B5	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_520_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 522 plasma	Mus musculus	blood plasma	not applicable	3	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 522	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_522_A9	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_522_A9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 524 plasma	Mus musculus	blood plasma	not applicable	4	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 524	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_524_B1	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_524_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 530 plasma	Mus musculus	blood plasma	not applicable	5	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 530	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_530_B2	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_530_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 410 liver	Mus musculus	liver	not available	1	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 410	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_410_C6	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_410_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 412 liver	Mus musculus	liver	not available	2	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 412	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_412_A2	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_412_A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 414 liver	Mus musculus	liver	not available	3	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 414	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_414_A6	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_414_A6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 430 liver	Mus musculus	liver	not available	1	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 430	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_430_D5	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_430_D5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 432 liver	Mus musculus	liver	not available	2	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 432	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_432_C7	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_432_C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
