source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[genetic modification]	characteristics[nuclease treatment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[genetic modification]	factor value[nuclease treatment]	factor value[treatment]
sample21	Homo sapiens	kidney	not available	1	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-FL overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample21	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-FL overexpression	no Benzonase	gamma irradiation
sample22	Homo sapiens	kidney	not available	2	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-FL overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample22	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-FL overexpression	no Benzonase	gamma irradiation
sample23	Homo sapiens	kidney	not available	3	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-FL overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample23	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-FL overexpression	no Benzonase	gamma irradiation
sample24	Homo sapiens	kidney	not available	4	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-FL overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample24	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-FL overexpression	no Benzonase	gamma irradiation
sample25	Homo sapiens	kidney	not available	1	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample25	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	untreated
sample26	Homo sapiens	kidney	not available	2	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample26	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	untreated
sample27	Homo sapiens	kidney	not available	3	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample27	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	untreated
sample28	Homo sapiens	kidney	not available	4	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample28	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	untreated
sample29	Homo sapiens	kidney	not available	1	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample29	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	gamma irradiation
sample30	Homo sapiens	kidney	not available	2	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample30	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	gamma irradiation
sample31	Homo sapiens	kidney	not available	3	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample31	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	gamma irradiation
sample32	Homo sapiens	kidney	not available	4	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample32	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	Benzonase	gamma irradiation
sample33	Homo sapiens	kidney	not available	1	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample33	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	untreated
sample34	Homo sapiens	kidney	not available	2	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample34	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	untreated
sample35	Homo sapiens	kidney	not available	3	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample35	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	untreated
sample36	Homo sapiens	kidney	not available	4	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample36	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	untreated
sample37	Homo sapiens	kidney	not available	1	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample37	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	gamma irradiation
sample38	Homo sapiens	kidney	not available	2	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample38	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	gamma irradiation
sample39	Homo sapiens	kidney	not available	3	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample39	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	gamma irradiation
sample40	Homo sapiens	kidney	not available	4	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample40r2	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample40r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	Benzonase	gamma irradiation
