source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 37	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 37	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac3_pH4_5b.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 38	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 38	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac3_pH9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 39	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 39	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac4_pH4_5a.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 40	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 40	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac4_pH4_5b.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 41	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 41	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac4_pH9.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 42	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 42	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac5_pH4_5a.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 43	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 43	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac5_pH4_5b.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 44	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 44	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac5_pH9.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 45	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 45	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac6_pH4_5a.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 46	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 46	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac6_pH4_5b.raw	17	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 47	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 47	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac6_pH9.raw	18	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 48	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 48	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 49	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 49	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 50	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 50	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac1_pH9.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 51	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 51	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5a.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 52	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 52	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5b.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 53	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 53	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac2_pH9.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 54	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 54	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac3_pH4_5a.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 55	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 55	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac3_pH4_5b.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 56	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 56	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac3_pH9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 57	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 57	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac4_pH4_5a.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 58	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 58	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac4_pH4_5b.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 59	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 59	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac4_pH9.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 60	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 60	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac5_pH4_5a.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 61	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 61	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac5_pH4_5b.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 62	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 62	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac5_pH9.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 63	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 63	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac6_pH4_5a.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 64	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 64	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac6_pH4_5b.raw	17	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 65	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 65	proteomic profiling by mass spectrometry	1	20161108_QE1_nlc1_BKH_SA_HeLa_0_1_L_ctrl_H_PCA_HpH_Frac6_pH9.raw	18	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 66	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 66	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 67	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 67	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 68	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 68	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac1_pH9.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 69	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 69	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5a.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 70	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 70	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5b.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 71	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 71	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac2_pH9.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 72	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 72	proteomic profiling by mass spectrometry	1	20161110_QE1_nlc1_BKH_SA_HeLa_0_0_1_L_ctrl_H_PCA_HpH_Frac3_pH4_5a.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
